State Name,State Name [State] 2013-14,ANSI/FIPS State Code [State] Latest available year,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students [State] 2005-06,Total Students [State] 2004-05
ALABAMA,AL,="01",746204,744637,744621,755552,748889,745668,742919,743632,741761,730140
ALASKA,AK,="02",130944,131489,131167,132104,131661,130662,131029,132608,133288,132970
ARIZONA,AZ,="04",1102445,1089384,1080319,1071751,1077831,1087817,1087447,1068249,1094454,1043298
ARKANSAS,AR,="05",489979,486157,483114,482114,480559,478965,479016,476409,474206,463115
CALIFORNIA,CA,="06",6312623,6299451,6287834,6289578,6263438,6322528,6343471,6406750,6437202,6441557
COLORADO,CO,="08",876999,863561,854265,843316,832368,818443,801867,794026,779826,765976
CONNECTICUT,CT,="09",546200,550954,554437,560546,563968,567198,570626,575100,575059,577390
DELAWARE,DE,10,131687,129026,128946,129403,126801,125430,122574,122254,120937,119091
DISTRICT OF COLUMBIA,DC,11,78153,76140,73911,71284,69433,68681,78422,72850,76876,76714
FLORIDA,FL,12,2720744,2692162,2668156,2643347,2634522,2631020,2666811,2671513,2675024,2639336
GEORGIA,GA,13,1723909,1703332,1685016,1677067,1667685,1655792,1649589,1629157,1598461,1553437
HAWAII,HI,15,186825,184760,182706,179601,180196,179478,179897,180728,182818,183185
IDAHO,ID,16,296476,284834,279873,275859,276299,275051,272119,267380,261982,256084
ILLINOIS,IL,17,2066990,2072880,2083097,2091654,2104175,2119707,2112805,2118276,2111706,2097503
INDIANA,IN,18,1047385,1041369,1040765,1047232,1046661,1046147,1046764,1045940,1035074,1021348
IOWA,IA,19,502964,499825,495870,495775,491842,487559,485115,483122,483482,478319
KANSAS,KS,20,496440,489043,486108,483701,474489,471060,468295,469506,467525,469136
KENTUCKY,KY,21,677389,685167,681987,673128,680089,670030,666225,683152,679878,674796
LOUISIANA,LA,22,711491,710903,703390,696558,690915,684873,681038,675851,654526,724281
MAINE,ME,23,183995,185739,188969,189077,189225,192935,196245,193986,195498,198820
MARYLAND,MD,24,866169,859638,854086,852211,848412,843861,845700,851640,860020,865561
MASSACHUSETTS,MA,25,955739,954773,953369,955563,957053,958910,962958,968661,971909,975574
MICHIGAN,MI,26,1548841,1555370,1573537,1587067,1649082,1659921,1692739,1722656,1742282,1751290
MINNESOTA,MN,27,850973,845404,839738,838037,837053,836048,837578,840565,839243,838503
MISSISSIPPI,MS,28,492586,493650,490619,490526,492481,491962,494122,495026,494954,495376
MISSOURI,MO,29,918288,917900,916584,918710,917982,917871,917188,920353,917705,905449
MONTANA,MT,30,144129,142908,142349,141693,141807,141899,142823,144418,145416,146705
NEBRASKA,NE,31,307677,303505,301296,298500,295368,292590,291244,287580,286646,285761
NEVADA,NV,32,451831,445707,439634,437149,428947,433371,429362,424766,412395,400083
NEW HAMPSHIRE,NH,33,186310,188974,191900,194711,197140,197934,200772,203572,205767,206852
NEW JERSEY,NJ,34,1370295,1372203,1356431,1402548,1396029,1381420,1382348,1388850,1395602,1393347
NEW MEXICO,NM,35,339244,338220,337225,338122,334419,330245,329040,328220,326758,326102
NEW YORK,NY,36,2732770,2710703,2704718,2734955,2766052,2740592,2765435,2809649,2815581,2836337
NORTH CAROLINA,NC,37,1530857,1518465,1507864,1490605,1483397,1488645,1489492,1444481,1416436,1385754
NORTH DAKOTA,ND,38,103947,101111,97646,96323,95073,94728,95059,96670,98283,100513
OHIO,OH,39,1724111,1729916,1740030,1754191,1764297,1817163,1827184,1836722,1839683,1840032
OKLAHOMA,OK,40,681848,673483,666120,659911,654802,645108,642065,639391,634739,629476
OREGON,OR,41,593000,587564,568208,570720,582839,575393,565586,562574,552194,552505
PENNSYLVANIA,PA,42,1755236,1763677,1771395,1793284,1785993,1775029,1801971,1871060,1830684,1828089
RHODE ISLAND,RI,44,142008,142481,142854,143793,145118,145342,147629,151612,153422,156498
SOUTH CAROLINA,SC,45,745657,735998,727186,725838,723143,718113,712317,708021,701544,703736
SOUTH DAKOTA,SD,46,130890,130471,128016,126128,123713,126429,121606,121158,122012,122798
TENNESSEE,TN,47,993556,993496,999693,987422,972549,971950,964259,978368,953928,941091
TEXAS,TX,48,5153702,5077659,5000470,4935715,4850210,4752148,4674832,4599509,4525394,4405215
UTAH,UT,49,625461,613279,598832,585552,571586,559778,576244,523386,508430,503607
VERMONT,VT,50,88690,89624,89908,96858,91451,93625,94038,95399,96638,98352
VIRGINIA,VA,51,1273825,1265419,1257883,1251440,1245340,1235795,1230857,1220440,1213616,1204739
WASHINGTON,WA,53,1058936,1051694,1045453,1043788,1035347,1037018,1030247,1026774,1031985,1020005
WEST VIRGINIA,WV,54,280958,283044,282870,282879,282662,282729,282535,281939,280866,280129
WISCONSIN,WI,55,874414,872436,871105,872286,872436,873750,874633,876700,875174,864757
WYOMING,WY,56,92732,91533,90099,89009,88155,87161,86422,85193,84409,84733
